品牌,车型,报价（万元）
ARCFOX极狐,极狐 阿尔法S-2021款 525S,25.19
ARCFOX极狐,极狐 阿尔法S-2021款 525S+,26.89
ARCFOX极狐,极狐 阿尔法S-2021款 708S+,28.19
ARCFOX极狐,极狐 阿尔法S-2021款 603H,34.49
ARCFOX极狐,极狐 阿尔法T-2021款 480S,24.19
ARCFOX极狐,极狐 阿尔法T-2021款 480S+,25.69
ARCFOX极狐,极狐 阿尔法T-2021款 653S,26.19
ARCFOX极狐,极狐 阿尔法T-2021款 653S+,27.69
ARCFOX极狐,极狐 阿尔法T-2021款 四驱性能版 H,31.99
ARMADILLO,锐行者-2021款 自行式C型房车,196
AUXUN傲旋,傲旋V-Class-2021款 2.0T 纵横四海,148
AUXUN傲旋,傲旋V-Class-2020款 V 260 L 傲旋,108
AUXUN傲旋,傲旋V-Class-2020款 V 260 L 傲旋大白鲨半隔断,109.8
AUXUN傲旋,傲旋V-Class-2020款 V 260 L 傲旋大白鲨,118
AUXUN傲旋,傲旋V-Class-2020款 V 260 L 傲旋大白鲨典藏版,158
DS,DS 9-2021款 45THP 蒙马特版,24.99
DS,DS 9-2021款 45THP 蒙马特进取版,26.99
DS,DS 9-2021款 45THP 里沃利版,29.99
DS,DS 9-2021款 45THP 歌剧院版,33.99
DS,DS 7-2021款 35THP 早春限定版,22.99
DS,DS 7-2020款 35THP 帕西版,22.99
DS,DS 7-2020款 35THP 蒙马特版,24.99
DS,DS 7-2020款 45THP 里沃利版,27.69
DS,DS 7-2020款 45THP 运动版,27.99
DS,DS 7-2020款 45THP 歌剧院版,31.99
DS,DS 9 PHEV-2021款 1.6T E-TENSE 蒙马特进取版,32.99
DS,DS 9 PHEV-2021款 1.6T E-TENSE 里沃利版,35.99
DS,DS 9 PHEV-2021款 1.6T E-TENSE 歌剧院版,39.99
DS,DS 3 EV-2021款 E-Tense 右岸版,31.33
DS,DS 3 EV-2021款 INES DE LA FRESSANGE 限量版,32.33
DS,DS 3 EV-2021款 E-Tense 左岸版,33.33
Jeep,牧马人-2021款 2.0T Sahara两门版,44.99
Jeep,牧马人-2021款 2.0T Sahara四门版,46.99
Jeep,牧马人-2021款 2.0T 高地四门版,48.99
Jeep,牧马人-2021款 2.0T Rubicon两门版,50.99
Jeep,牧马人-2021款 2.0T Rubicon四门版,55.99
Jeep,大指挥官-2022款 2.0T 两驱精英版,23.98
Jeep,大指挥官-2022款 2.0T 两驱豪华版,25.98
Jeep,大指挥官-2022款 2.0T 四驱豪华版,28.98
Jeep,大指挥官-2022款 2.0T 四驱旗舰版,32.98
Jeep,指南者-2021款 220T 舒适版,13.98
Jeep,指南者-2021款 220T 领先版,15.68
Jeep,指南者-2021款 220T 精英版,16.68
Jeep,指南者-2021款 220T 豪华版,17.98
Jeep,指南者-2021款 220T 四驱精英版,18.88
Jeep,指南者-2021款 220T 80周年纪念版,19.18
Jeep,指南者-2021款 220T 四驱高性能旗舰版,20.98
Jeep,大切诺基(进口)-2021款 3.0L 80周年纪念版,58.49
Jeep,大切诺基(进口)-2020款 3.0L 专业导航版,52.99
Jeep,大切诺基(进口)-2020款 3.0L 精英导航版,55.99
Jeep,大切诺基(进口)-2020款 3.6L 精英导航版,59.49
Jeep,大切诺基(进口)-2020款 3.6L 豪华导航版,64.99
Jeep,大切诺基(进口)-2020款 3.6L 高性能四驱版,64.99
Jeep,大切诺基(进口)-2020款 3.6L 旗舰尊耀版,71.49
Jeep,自由光-2020款 2.0L 两驱安全升级版,19.68
Jeep,自由光-2020款 2.0T 两驱领先版,22.28
Jeep,自由光-2020款 2.0T 四驱精英版,23.98
Jeep,自由光-2020款 2.0T 四驱夜鹰版,24.98
Jeep,自由光-2020款 2.0T 四驱豪华版,25.78
Jeep,自由光-2020款 2.0T 四驱80周年纪念版,26.18
